filieres_id,nom,descriptif,duree,cout,langue_enseignement,diplome_delivre,images_pc,images_telephone,images_tablettes,faculte_id,centre_interet,faculte_id,nom,descriptif,condition_admission,email,telephone,images_pc,images_telephone,images_tablettes,universite_id,ville,pays,logo,nom,universite_id
374,Sciences Politiques,"""La filière Sciences Politiques est un domaine d'études pluridisciplinaire qui s'intéresse au fonctionnement des systèmes politiques, aux relations internationales, aux politiques publiques et aux questions sociales. Les étudiants en sciences politiques acquièrent une compréhension approfondie des théories politiques, des institutions politiques, des processus de décision et des comportements politiques. Ils développent également des compétences analytiques, critiques et de communication solides.

""",5,50000.00,Français et Anglais,Licence et Master,null,null,null,53,null,53,La Faculte des Sciences Juridiques et Politiques (FSJP),"La Faculté des Sciences Juridiques et Politiques (FSJP) de l'Université d'Ebolowa est un établissement public, scientifique et culturel créé le 06 janvier 2022 par décret présidentiel N° 2022/009.  La FSJP est l'un des établissements de l'Université d'Ebolowa, située à 177 km au Sud de la Capitale (Yaoundé). Elle est dotée de la personnalité morale et de l'autonomie financière. La FSJP offre des formations dans les domaines du droit public, du droit privé, de l'English Law et de la science politique. La FSJP propose des formations classiques et professionnelles répondant aux exigences du système LMD.",L'admission à la FSJP se fait par voie de concours ou sur étude de dossier. Les candidats doivent télécharger une fiche de candidature suivant la procédure de préinscription en ligne sur la plateforme SIGES ONLINE de l'Université d'Ebolowa. Les dossiers complets doivent être envoyés avant la fin du mois d'Août chaque année.,fsjp@univ-yaounde2.org,+(237) 699 490 550 / +(237) 673 689 244,https://drive.google.com/file/d/1WrKvhAundCIVMUwnFKpIfglQk9TPEZq4/view?usp=sharing,null,null,7,Ebolowa,Cameroun,https://drive.google.com/file/d/19RiXtHFaIYqk84IfWFBuGpptRjmSBfnZ/view?usp=sharing,UNIVERSITE D'EBOLOWA,7
727,Métiers du e-Tourisme et Patrimoines,"La filière Métiers du e-Tourisme et Patrimoines forme dans les métiers du tourisme et de l'hotelerie avec ces différents parcours de professionalisation :                                                                                            1- e-Tourisme et Ingénierie Culturelle des patrimoines                                                                                                                                                                                                                                                            2- Innovation Hotelière et e-Tourisme                                                                                                                                                                                                                                                                                    3- Conservation du patrimoine : Muséologie, Expographie",5,50000.00,Français et Anglais,Ingénieur,,,,111,,111,Institut Supérieure des Beaux Arts et de l'Innovation de Garoua(IBAI).,"L'Institut Supérieur des Beaux Arts et de l'Innovation (IBAI) est un établissement public de l'Université de Garoua spécialisé dans la formation aux métiers des arts et de l'innovation. Avec des programmes variés tels que les métiers des arts et humanités numériques, l'architecture et l'urbanisme, le design et le graphisme, ainsi que les arts plastiques et l'innovation numérique, l'IBAI offre un enseignement de pointe dans des domaines créatifs et innovants. Grâce à des partenariats avec des professionnels de l'industrie et une approche pratique de l'apprentissage, les étudiants de l'IBAI sont préparés à réussir dans des carrières dynamiques et en constante évolution. En combinant l'art traditionnel avec les technologies numériques et les tendances actuelles, l'IBAI vise à former les futurs innovateurs et leaders dans le domaine des arts et de la créativité.",Admission par voie de concours aux titulaires des baccalauréats C-D-E-F2-F3-TI ou GCE AL in Sciences and Technologie ou équivalent,contact@univ-garoua.cm,,https://drive.google.com/file/d/1frFI0GyfQkBG1Cn1WoQPDl44lBaZD_aZ/view?usp=sharing,,,14,Garoua,Cameroun,https://drive.google.com/file/d/1frFI0GyfQkBG1Cn1WoQPDl44lBaZD_aZ/view?usp=sharing,UNIVERSITE DE GAROUA,14
187,"Traitement des matériaux, architecture et habitat (TRAMARH)","La filière Traitement des Matériaux, Architecture et Habitat forme des ingénieurs compétents dans le domaine des matériaux de construction, de l’architecture et de l’habitat durable. Les étudiants acquièrent des connaissances approfondies sur les matériaux, les techniques de construction et la conception architecturale.",5,50000.00,"francais, anglais","Licence, Master",,,,30,,30,Ecole Nationale Supérieure Polytechnique Maroua (ENSPM),"L’ENSPM (Ex Institut Supérieur du Sahel) de l’Université de Maroua est un pôle d’Excellence polytechnique au service du développement local, national et sous régional. Elle offre des formations de pointe dans divers domaines polytechniques, contribuant ainsi au progrès scientifique et technologique.","L'admission à l'ENSPM de l'Université de Maroua se fait par voie de concours ou sur étude de dossier. Les Baccalauréats autorisés pour la première année sont les séries scientifiques C, D, E, F, ainsi que le GCE Advanced Level (GCE AL) ou tout autre diplôme équivalent reconnu par le Ministère de l'Enseignement Supérieur. Les épreuves du concours comprennent des épreuves écrites en mathématiques, culture générale, physique-chimie, et des épreuves orales selon la filière choisie.",,(237) 222 29 19 87,https://drive.google.com/file/d/16Atpa_Zdz7BSHB9-c5b-8RyWB9K8Nwvn/view?usp=sharing,,,4,Maroua,Cameroun,https://drive.google.com/file/d/1-nyi1DBwV7t6b40btWXQLMZkqdMefUJb/view?usp=sharing,UNIVERSITE DE MAROUA,4
194,MINES ET CARRIERES (MIC),"La filière MIC forme des professionnels spécialisés dans l’exploitation des mines et carrières. Les étudiants développent des compétences en géologie, en extraction minière, en gestion des ressources naturelles et en environnement.",5,50000.00,"Français, Anglais","Licence, Master",,,,31,,31,Faculté des Mines et des Industries Pétrolières (FMIP),"La formation à la FMIP a pour but de donner aux étudiants des connaissances et un langage communs leur permettant de s’insérer dans le monde des industries minières et pétrolières, dans le monde des métiers du pétrole et du gaz. Elle vise aussi la mise au point de produits et de techniques de traitements des gisements pétroliers, des matériels pour l’exploration et la production pétrolière, des produits de raffinage, des nouveaux carburants et des matériaux pour l’énergie.
Formation : Pour assurer la formation, l’Institut des Mines et des Industries Pétrolières (IMP) est doté des Départements suivants :
Département d’Ingénierie Minière et Traitement des Minerais ;
Département d’Exploration Minière, Pétrolière, Gazière et Ressources en Eau;
Département de Raffinage et de Pétrochimie ;
Département de Génie Mécanique, Pétrolier et Gazier ;
Département de Sécurité Industrielle, Qualité et Environnement ;
Département de l’Économie, Gestion et Législation Minière, Pétrolière et Gazière ;
Département des Sciences fondamentales, de Droit et des Humanités.","L'admission à la FMIP se fait sur concours et sur titres aux titulaires du Baccalauréat  scientifiques C, D, TI, E ou F, ainsi que le GCE Advanced Level (GCE AL) dans les matières spécifiques.",,(+237) 222 29 15 41 / 677 78 07 78,https://drive.google.com/file/d/1tBoXVCdCCMCg4osUKR9o9QZc4o4skBlt/view?usp=sharing,,,4,Maroua,Cameroun,https://drive.google.com/file/d/1-nyi1DBwV7t6b40btWXQLMZkqdMefUJb/view?usp=sharing,UNIVERSITE DE MAROUA,4
6,Etudes bilingues (Bilingue francophone),"Programme similaire à celui bilingue anglophone, mais mettant l'accent sur les cultures et les littératures francophones.",5,50000.00,Français et Anglais,"Licence, Master",,,,1,,1,"Faculté des Arts, Lettres et Sciences Humaines","La Faculté des Arts, Lettres et Sciences Humaines (F.A.L.S.H.) est un établissement public de l’Université de Yaoundé I. Jadis appelée Faculté des Lettres et Sciences Humaines, elle doit son actuelle dénomination de la Réforme universitaire de 1993 avec les décrets 93/027 et 93/036 du 19 janvier 1993 du Président de la République portant respectivement dispositions communes aux universités d’État et organisation administrative et académique de l’Université de Yaoundé I.","Peuvent être admis à s’inscrire à la FALSH en première année d’études les Camerounais et les étrangers qui en font la demande, sans distinction d’âge, de sexe ou de religion.",falsh@univ-yaounde1.cm,222 22 24 05,https://drive.google.com/file/d/14qsWESL-7BoCzxCsx8SjpkwEiPXo9WKj/view?usp=sharing,,,1,Yaoundé,Cameroun,https://drive.google.com/file/d/17tXCmCEuZUwhLDKbcYdh1hCQnJzoGq6M/view?usp=sharing,UNIVERSITE DE YAOUNDE I,1
375,Droit,"La filière Droit propose une formation pluridisciplinaire qui offre une compréhension approfondie du droit dans ses différentes dimensions. Les étudiants acquièrent des connaissances solides en droit public, droit privé, droit international et droit européen. Ils développent également des compétences analytiques, critiques et rédactionnelles solides, ainsi que des aptitudes à la recherche et à la synthèse.",5,50000.00,Français et Anglais,Licence et Master,null,null,null,53,NULL,53,La Faculte des Sciences Juridiques et Politiques (FSJP),"La Faculté des Sciences Juridiques et Politiques (FSJP) de l'Université d'Ebolowa est un établissement public, scientifique et culturel créé le 06 janvier 2022 par décret présidentiel N° 2022/009.  La FSJP est l'un des établissements de l'Université d'Ebolowa, située à 177 km au Sud de la Capitale (Yaoundé). Elle est dotée de la personnalité morale et de l'autonomie financière. La FSJP offre des formations dans les domaines du droit public, du droit privé, de l'English Law et de la science politique. La FSJP propose des formations classiques et professionnelles répondant aux exigences du système LMD.",L'admission à la FSJP se fait par voie de concours ou sur étude de dossier. Les candidats doivent télécharger une fiche de candidature suivant la procédure de préinscription en ligne sur la plateforme SIGES ONLINE de l'Université d'Ebolowa. Les dossiers complets doivent être envoyés avant la fin du mois d'Août chaque année.,fsjp@univ-yaounde2.org,+(237) 699 490 550 / +(237) 673 689 244,https://drive.google.com/file/d/1WrKvhAundCIVMUwnFKpIfglQk9TPEZq4/view?usp=sharing,null,null,7,Ebolowa,Cameroun,https://drive.google.com/file/d/19RiXtHFaIYqk84IfWFBuGpptRjmSBfnZ/view?usp=sharing,UNIVERSITE D'EBOLOWA,7
728,Enseignements fondamentaux de l'Education,"Les enseignements fondamentaux de l'Éducation visent à fournir aux étudiants une compréhension approfondie des théories, des principes et des pratiques de l'éducation. Cette filière aborde des sujets tels que la psychologie de l'apprentissage, les théories pédagogiques, la sociologie de l'éducation et la philosophie de l'éducation. Les étudiants acquièrent des compétences essentielles en planification de cours, en évaluation des apprentissages, en gestion de classe et en communication éducative. Cette formation prépare les étudiants à des carrières dans l'enseignement, la formation professionnelle, le conseil en éducation et le développement de programmes éducatifs.",5,50000.00,Français et Anglais,Licence et Master,,,,112,,112,Faculté des Sciences de l'Education (FSE),"La Faculté des Sciences de l'Éducation (FSE) offre une formation spécialisée dans le domaine de l'éducation selon le système LMD. Avec des filières telles que les Enseignements fondamentaux de l'Éducation, l'Administration de l'Éducation et la Didactique des Disciplines, la FSE prépare les étudiants à des carrières dans l'enseignement, la gestion éducative et la formation des enseignants. Grâce à une approche pratique et théorique de l'apprentissage, les étudiants acquièrent les compétences nécessaires pour contribuer efficacement au développement de l'éducation et à l'amélioration des pratiques pédagogiques. En combinant une expertise disciplinaire avec une compréhension des enjeux éducatifs contemporains, la FSE forme les futurs professionnels de l'éducation prêts à relever les défis du secteur.",,contact@univ-garoua.cm,,https://drive.google.com/file/d/1FSJMduJgeCqnfALQi7gYMcxqNSkfeo5L/view?usp=sharing,,,14,Garoua,Cameroun,https://drive.google.com/file/d/1frFI0GyfQkBG1Cn1WoQPDl44lBaZD_aZ/view?usp=sharing,UNIVERSITE DE GAROUA,14
31,"Spécialisation 2 : handicaps mentaux, habileté mentales et conseil","Continuation de la spécialisation en éducation spécialisée avec un focus spécifique sur les handicaps mentaux, les habiletés mentales, et le counseling éducatif.",5,50000.00,Français et Anglais,"Licence, Master",,,,3,,3,Faculté des Sciences de l’Éducation (FSE),"La Faculté des Sciences de l’Éducation de l’Université de Yaoundé I a été créée sous les auspices de la Réforme Universitaire de 1993, avec les décrets N° 93/027 et N°93/036 du 19 janvier 1993 du Président de la République portant respectivement dispositions communes aux universités d’État et organisation administrative et académique de l’Université de Yaoundé I. La Faculté voit finalement son ouverture définitive aboutir en 2013.","Pour le cycle de Master I, l’entrée est réservée aux seuls titulaires des Licences en Anthropologie, Philosophie, Psychologie et Sociologie. Le passage en Master 2 est rigoureusement sélectif. Il en est de même pour l’accès au cycle de Doctorat.",facsciences@univ-yaounde1.cm,222 23 44 96,https://drive.google.com/file/d/1FSJMduJgeCqnfALQi7gYMcxqNSkfeo5L/view?usp=sharing,,,1,Yaoundé,Cameroun,https://drive.google.com/file/d/17tXCmCEuZUwhLDKbcYdh1hCQnJzoGq6M/view?usp=sharing,UNIVERSITE DE YAOUNDE I,1
200,Sociologie,"La filière Sociologie forme des professionnels capables d’analyser les structures sociales, les comportements individuels et collectifs, ainsi que les phénomènes sociaux. Elle offre une compréhension approfondie des dynamiques sociales.",5,50000.00,francais et anglais,"Licence, Master",,,,32,,32,"Faculté des Arts, Lettres et Sciences Humaines (FALSH)","La Faculté des Arts, Lettres et Sciences Humaines (FALSH) de l’Université de Ngaoundéré compte six départements. Elle délivre des diplômes de Licence, de Master et de Doctorat en Histoire, Géographie, Sociologie-Anthropologie, Littérature et Linguistique et participe à plusieurs masters complémentaires.","Les Baccalauréats autorisés pour la première année soient les séries A, C, D, E, F, ainsi que le GCE Advanced Level (GCE AL) obtenu dans au moins 2 matières,",falsh@univ-ndere.cm,+237 222 25 40 02,https://drive.google.com/file/d/14qsWESL-7BoCzxCsx8SjpkwEiPXo9WKj/view?usp=sharing,,,5,Ngaoundéré,Cameroun,https://drive.google.com/file/d/1yM6vkPNIw5df1kqNFuzQho19DpEGG9t9/view?usp=sharing,UNIVERSITE DE NGAOUNDERE,5
85,Chimie Du Bois (Chb),La filière Chimie Du Bois (Chb) met l’accent sur l’analyse chimique et les processus de transformation du bois. Les étudiants explorent les propriétés chimiques du bois et apprennent à appliquer ces connaissances dans diverses industries chimiques et forestières.,5,50000.00,Français et Anglais,"Licence, Master",,,,8,,8,Institut Universitaire de Technologie du Bois (IUT),"L’Institut Universitaire de Technologie (IUT) de l’Université de Yaoundé I est situé au sein de l’École des Eaux et Forêts de Mbalmayo. Cette Institut propose une formation pratique et théorique de haut niveau dans les domaines de la technologie et de l'ingénierie. Les étudiants bénéficient d'un environnement d'apprentissage dynamique, avec un accès à des laboratoires modernes et à des ressources pédagogiques de pointe. Les programmes d'études sont conçus pour répondre aux besoins du marché du travail et favoriser l'employabilité des diplômés dans des secteurs tels que l'ingénierie forestière, l'environnement, l'agronomie, et les sciences appliquées.","L’admission à l’IUT Bois de Mbalmayo se fait par voie de concours. Celui-ci est ouvert aux titulaires d’un bac C, D, E, F4 (Génie Civil), et aux titulaires d’un Brevet des Techniciens (BT) en Industrie du Bois, Exploitation Forestière, Menuiserie et Ebéniste ou de tout autre diplôme reconnu en équivalent. Il faut être âgé de 28 ans au plus à la date du concours. A ce jour, cette Ecole ne possède qu’une seule filière dénommée Génie Civil du Bois. Les autres se mettent progressivement en place.",cab_rect@uy1.uninet.cm,237 222 22 13 20,https://drive.google.com/file/d/12lag2RpOOQgrE1ayhKL0HFPn5KKtxIaC/view?usp=sharing,,,1,Yaoundé,Cameroun,https://drive.google.com/file/d/17tXCmCEuZUwhLDKbcYdh1hCQnJzoGq6M/view?usp=sharing,UNIVERSITE DE YAOUNDE I,1
